date,avg_stay_days,n_children,rolling_avg_7d
2024-05-17,4.0,1,
2024-05-22,9.0,1,
2024-05-28,1.0,1,4.7
2024-05-30,44.0,1,14.5
2024-06-05,10.0,1,13.6
2024-06-10,1.0,1,11.5
2024-06-11,33.0,1,14.6
2024-06-14,1.0,1,14.1
2024-06-17,4.0,1,13.4
2024-06-21,3.0,1,13.7
2024-06-24,16.0,1,9.7
2024-06-25,5.666666666666667,3,9.1
2024-06-26,2.0,1,9.2
2024-07-02,3.0,2,5.0
2024-07-10,1.0,1,5.0
2024-07-13,2.0,1,4.7
2024-07-21,3.0,2,4.7
2024-07-22,2.0,2,2.7
2024-07-23,6.0,1,2.7
2024-07-24,3.5,2,2.9
2024-07-27,11.0,4,4.1
2024-07-31,15.0,2,6.1
2024-08-01,7.0,1,6.8
2024-08-03,9.666666666666666,3,7.7
2024-08-06,1.0,2,7.6
2024-08-08,1.0,1,6.9
2024-08-09,16.166666666666668,6,8.7
2024-08-10,13.0,1,9.0
2024-08-13,10.0,2,8.3
2024-08-16,11.333333333333334,3,8.9
2024-08-17,6.0,3,8.4
2024-08-20,9.5,2,9.6
2024-08-21,94.5,4,22.9
2024-08-22,13.0,4,22.5
2024-08-23,10.571428571428571,7,22.1
2024-08-26,8.0,3,21.8
2024-08-27,4.0,2,20.8
2024-08-28,7.0,1,20.9
2024-08-29,8.0,2,20.7
2024-08-31,8.666666666666666,3,8.5
2024-09-02,9.0,2,7.9
2024-09-03,4.75,4,7.1
2024-09-04,7.0,5,6.9
2024-09-05,8.0,1,7.5
2024-09-06,7.0,2,7.5
2024-09-07,4.0,2,6.9
2024-09-08,9.0,2,7.0
2024-09-11,10.333333333333334,3,7.2
2024-09-12,7.666666666666667,6,7.6
2024-09-13,5.0,2,7.3
2024-09-14,12.0,4,7.9
2024-09-15,12.75,4,8.7
2024-09-17,7.0,4,9.1
2024-09-18,12.0,1,9.5
2024-09-24,8.666666666666666,3,9.3
2024-09-28,5.0,1,8.9
2024-09-29,8.0,1,9.3
2024-10-01,8.5,2,8.8
2024-10-04,12.0,3,8.7
2024-10-05,5.0,3,8.5
2024-10-07,9.0,1,8.0
2024-10-08,8.0,1,7.9
2024-10-09,8.25,4,8.4
2024-10-10,6.0,3,8.1
